"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Демонстрация Allure","Параметризация","Параметризованные тесты","0","0","4","0","0"
"Демонстрация Allure","Кастомные данные","Пользовательские данные","0","0","1","0","0"
"Демонстрация Allure","Тайминги","Долгий тест","0","0","1","0","0"
"Демонстрация Allure","Категории и теги","Технические тесты","0","0","1","0","0"
"","","","1","0","4","0","0"
"Демонстрация Allure","Аттачменты","Разные типы вложений","0","0","1","0","0"
"Демонстрация Allure","Категории и теги","Разные категории тестов","0","0","1","0","0"
"Демонстрация Allure","Вложенные шаги","Сложный процесс","0","0","1","0","0"
"Демонстрация Allure","Базовые возможности","Пропущенный тест","0","0","0","1","0"
"Демонстрация Allure","Базовые возможности","Успешный тест","0","0","1","0","0"
"Демонстрация Allure","Ссылки и интеграции","Ссылки на внешние системы","0","0","1","0","0"
"Демонстрация Allure","Логирование","Логи","0","0","1","0","0"
"Демонстрация Allure","Базовые возможности","Сломанный тест","0","1","0","0","0"
"Демонстрация Allure","Базовые возможности","Падающий тест","0","1","0","0","0"
"Демонстрация Allure","Soft Assertions","Множественные проверки","0","0","1","0","0"
"Демонстрация Allure","Скриншоты и графика","Скриншоты","0","0","1","0","0"
